Instance name, X location, Y location, Voltage
_100_, 21.84, 57.12, 1.8
FILLER_0_16_29, 21.84, 57.12, 1.8
_097_, 21.84, 51.68, 1.8
_099_, 21.84, 51.68, 1.8
FILLER_0_15_45, 21.84, 51.68, 1.8
_060_, 21.84, 46.24, 1.8
_061_, 21.84, 46.24, 1.8
_096_, 21.84, 46.24, 1.8
FILLER_0_12_29, 21.84, 46.24, 1.8
_089_, 21.84, 40.8, 1.8
_091_, 21.84, 40.8, 1.8
_107_, 21.84, 40.8, 1.8
_108_, 21.84, 40.8, 1.8
_109_, 21.84, 40.8, 1.8
_110_, 21.84, 40.8, 1.8
_111_, 21.84, 40.8, 1.8
FILLER_0_12_39, 21.84, 40.8, 1.8
_112_, 21.84, 35.36, 1.8
_130_, 21.84, 35.36, 1.8
clkbuf_0_osc_ck, 21.84, 35.36, 1.8
_062_, 21.84, 29.92, 1.8
_116_, 21.84, 29.92, 1.8
_117_, 21.84, 29.92, 1.8
_118_, 21.84, 29.92, 1.8
fanout24, 21.84, 29.92, 1.8
hold6, 21.84, 29.92, 1.8
_135_, 21.84, 24.48, 1.8
_136_, 21.84, 24.48, 1.8
clkbuf_1_0__f_osc_ck, 21.84, 24.48, 1.8
hold1, 21.84, 24.48, 1.8
FILLER_0_4_29, 21.84, 24.48, 1.8
_119_, 21.84, 19.04, 1.8
_120_, 21.84, 19.04, 1.8
hold4, 21.84, 19.04, 1.8
FILLER_0_2_29, 21.84, 19.04, 1.8
_070_, 21.84, 13.6, 1.8
_072_, 21.84, 13.6, 1.8
input6, 21.84, 13.6, 1.8
input7, 21.84, 13.6, 1.8
output13, 21.84, 13.6, 1.8
output15, 21.84, 13.6, 1.8
FILLER_0_1_28, 21.84, 13.6, 1.8
FILLER_0_2_37, 21.84, 13.6, 1.8
FILLER_0_2_46, 21.84, 13.6, 1.8
PHY_EDGE_ROW_16_Left_33, 5.52, 57.12, 1.8
PHY_EDGE_ROW_16_Right_16, 51.98, 57.12, 1.8
_093_, 31.886, 57.12, 1.8
output20, 31.886, 57.12, 1.8
FILLER_0_16_48, 31.886, 57.12, 1.8
FILLER_0_16_73, 41.933, 57.12, 1.8
PHY_EDGE_ROW_14_Left_31, 5.52, 51.68, 1.8
PHY_EDGE_ROW_15_Left_32, 5.52, 51.68, 1.8
PHY_EDGE_ROW_14_Right_14, 51.98, 51.68, 1.8
PHY_EDGE_ROW_15_Right_15, 51.98, 51.68, 1.8
_098_, 13.68, 51.68, 1.8
_128_, 13.68, 51.68, 1.8
FILLER_0_15_15, 13.68, 51.68, 1.8
_094_, 31.886, 51.68, 1.8
_095_, 31.886, 51.68, 1.8
_126_, 31.886, 51.68, 1.8
FILLER_0_16_81, 41.933, 51.68, 1.8
PHY_EDGE_ROW_12_Left_29, 5.52, 46.24, 1.8
PHY_EDGE_ROW_13_Left_30, 5.52, 46.24, 1.8
PHY_EDGE_ROW_12_Right_12, 51.98, 46.24, 1.8
PHY_EDGE_ROW_13_Right_13, 51.98, 46.24, 1.8
FILLER_0_12_93, 51.98, 46.24, 1.8
_101_, 13.68, 46.24, 1.8
_129_, 13.68, 46.24, 1.8
FILLER_0_13_15, 13.68, 46.24, 1.8
_090_, 31.886, 46.24, 1.8
_127_, 31.886, 46.24, 1.8
clkbuf_1_1__f_osc_ck, 31.886, 46.24, 1.8
FILLER_0_13_90, 41.933, 46.24, 1.8
PHY_EDGE_ROW_10_Left_27, 5.52, 40.8, 1.8
PHY_EDGE_ROW_11_Left_28, 5.52, 40.8, 1.8
input1, 5.52, 40.8, 1.8
_137__26, 5.52, 40.8, 1.8
_077_, 51.98, 40.8, 1.8
_079_, 51.98, 40.8, 1.8
PHY_EDGE_ROW_10_Right_10, 51.98, 40.8, 1.8
PHY_EDGE_ROW_11_Right_11, 51.98, 40.8, 1.8
FILLER_0_11_94, 51.98, 40.8, 1.8
_106_, 13.68, 40.8, 1.8
_114_, 13.68, 40.8, 1.8
FILLER_0_11_10, 13.68, 40.8, 1.8
_092_, 31.886, 40.8, 1.8
_104_, 31.886, 40.8, 1.8
_121_, 31.886, 40.8, 1.8
fanout22, 31.886, 40.8, 1.8
FILLER_0_11_61, 31.886, 40.8, 1.8
_055_, 41.933, 40.8, 1.8
_078_, 41.933, 40.8, 1.8
hold5, 41.933, 40.8, 1.8
FILLER_0_12_80, 41.933, 40.8, 1.8
_132_, 5.52, 35.36, 1.8
PHY_EDGE_ROW_8_Left_25, 5.52, 35.36, 1.8
PHY_EDGE_ROW_9_Left_26, 5.52, 35.36, 1.8
hold2, 5.52, 35.36, 1.8
_081_, 51.98, 35.36, 1.8
_082_, 51.98, 35.36, 1.8
PHY_EDGE_ROW_8_Right_8, 51.98, 35.36, 1.8
PHY_EDGE_ROW_9_Right_9, 51.98, 35.36, 1.8
_113_, 13.68, 35.36, 1.8
_131_, 13.68, 35.36, 1.8
_102_, 31.886, 35.36, 1.8
_103_, 31.886, 35.36, 1.8
_105_, 31.886, 35.36, 1.8
_122_, 31.886, 35.36, 1.8
_123_, 31.886, 35.36, 1.8
_056_, 41.933, 35.36, 1.8
_080_, 41.933, 35.36, 1.8
hold7, 41.933, 35.36, 1.8
_133_, 5.52, 29.92, 1.8
_138_, 5.52, 29.92, 1.8
PHY_EDGE_ROW_6_Left_23, 5.52, 29.92, 1.8
PHY_EDGE_ROW_7_Left_24, 5.52, 29.92, 1.8
output19, 5.52, 29.92, 1.8
_085_, 51.98, 29.92, 1.8
PHY_EDGE_ROW_6_Right_6, 51.98, 29.92, 1.8
PHY_EDGE_ROW_7_Right_7, 51.98, 29.92, 1.8
output21, 51.98, 29.92, 1.8
_064_, 13.68, 29.92, 1.8
_063_, 31.886, 29.92, 1.8
_065_, 31.886, 29.92, 1.8
_076_, 31.886, 29.92, 1.8
fanout23, 31.886, 29.92, 1.8
FILLER_0_7_65, 31.886, 29.92, 1.8
_057_, 41.933, 29.92, 1.8
_059_, 41.933, 29.92, 1.8
_087_, 41.933, 29.92, 1.8
input4, 41.933, 29.92, 1.8
hold8, 41.933, 29.92, 1.8
FILLER_0_7_77, 41.933, 29.92, 1.8
_074_, 5.52, 24.48, 1.8
_137_, 5.52, 24.48, 1.8
PHY_EDGE_ROW_4_Left_21, 5.52, 24.48, 1.8
PHY_EDGE_ROW_5_Left_22, 5.52, 24.48, 1.8
_084_, 51.98, 24.48, 1.8
PHY_EDGE_ROW_4_Right_4, 51.98, 24.48, 1.8
PHY_EDGE_ROW_5_Right_5, 51.98, 24.48, 1.8
_115_, 13.68, 24.48, 1.8
_134_, 13.68, 24.48, 1.8
input8, 13.68, 24.48, 1.8
_058_, 31.886, 24.48, 1.8
_088_, 31.886, 24.48, 1.8
_125_, 31.886, 24.48, 1.8
hold3, 31.886, 24.48, 1.8
FILLER_0_5_52, 31.886, 24.48, 1.8
FILLER_0_5_57, 31.886, 24.48, 1.8
_083_, 41.933, 24.48, 1.8
_086_, 41.933, 24.48, 1.8
FILLER_0_5_84, 41.933, 24.48, 1.8
_075_, 5.52, 19.04, 1.8
PHY_EDGE_ROW_2_Left_19, 5.52, 19.04, 1.8
PHY_EDGE_ROW_3_Left_20, 5.52, 19.04, 1.8
input2, 5.52, 19.04, 1.8
output10, 5.52, 19.04, 1.8
PHY_EDGE_ROW_2_Right_2, 51.98, 19.04, 1.8
PHY_EDGE_ROW_3_Right_3, 51.98, 19.04, 1.8
FILLER_0_3_22, 13.68, 19.04, 1.8
FILLER_0_4_25, 13.68, 19.04, 1.8
_066_, 31.886, 19.04, 1.8
_124_, 31.886, 19.04, 1.8
output17, 31.886, 19.04, 1.8
fanout25, 31.886, 19.04, 1.8
FILLER_0_3_52, 31.886, 19.04, 1.8
_054_, 5.52, 13.6, 1.8
PHY_EDGE_ROW_0_Left_17, 5.52, 13.6, 1.8
PHY_EDGE_ROW_1_Left_18, 5.52, 13.6, 1.8
input3, 5.52, 13.6, 1.8
output9, 5.52, 13.6, 1.8
FILLER_0_0_3, 5.52, 13.6, 1.8
PHY_EDGE_ROW_0_Right_0, 51.98, 13.6, 1.8
PHY_EDGE_ROW_1_Right_1, 51.98, 13.6, 1.8
_067_, 13.68, 13.6, 1.8
_068_, 13.68, 13.6, 1.8
input5, 13.68, 13.6, 1.8
output12, 13.68, 13.6, 1.8
FILLER_0_1_10, 13.68, 13.6, 1.8
FILLER_0_2_19, 13.68, 13.6, 1.8
_069_, 31.886, 13.6, 1.8
_071_, 31.886, 13.6, 1.8
_073_, 31.886, 13.6, 1.8
output16, 31.886, 13.6, 1.8
output18, 31.886, 13.6, 1.8
FILLER_0_0_48, 31.886, 13.6, 1.8
FILLER_0_0_63, 31.886, 13.6, 1.8
output11, 41.933, 13.6, 1.8
output14, 41.933, 13.6, 1.8
FILLER_0_0_70, 41.933, 13.6, 1.8
FILLER_0_0_77, 41.933, 13.6, 1.8
FILLER_0_1_88, 41.933, 13.6, 1.8
FILLER_0_2_81, 41.933, 13.6, 1.8

