Instance name, X location, Y location, Voltage
_098_, 25.14, 54.4, 1.33205e-06
_103_, 25.14, 54.4, 1.33205e-06
_124_, 25.14, 54.4, 1.33205e-06
output20, 25.14, 54.4, 1.33205e-06
_073_, 25.14, 48.96, 1.36625e-06
_100_, 25.14, 48.96, 1.36625e-06
_101_, 25.14, 48.96, 1.36625e-06
FILLER_0_14_37, 25.14, 48.96, 1.36625e-06
_055_, 25.14, 43.52, 1.28591e-06
_058_, 25.14, 43.52, 1.28591e-06
_070_, 25.14, 43.52, 1.28591e-06
_084_, 25.14, 43.52, 1.28591e-06
_097_, 25.14, 43.52, 1.28591e-06
_099_, 25.14, 43.52, 1.28591e-06
FILLER_0_11_37, 25.14, 43.52, 1.28591e-06
_123_, 25.14, 38.08, 2.43382e-06
clkbuf_0_osc_ck, 25.14, 38.08, 2.43382e-06
hold7, 25.14, 38.08, 2.43382e-06
hold12, 25.14, 38.08, 2.43382e-06
_094_, 25.14, 32.64, 1.84355e-06
_106_, 25.14, 32.64, 1.84355e-06
_115_, 25.14, 27.2, 1.09527e-06
_116_, 25.14, 27.2, 1.09527e-06
hold8, 25.14, 27.2, 1.09527e-06
hold9, 25.14, 27.2, 1.09527e-06
_077_, 25.14, 21.76, 6.33659e-07
fanout24, 25.14, 21.76, 6.33659e-07
hold1, 25.14, 21.76, 6.33659e-07
hold14, 25.14, 21.76, 6.33659e-07
FILLER_0_3_38, 25.14, 21.76, 6.33659e-07
_061_, 25.14, 16.32, 1.4646e-07
_063_, 25.14, 16.32, 1.4646e-07
_065_, 25.14, 16.32, 1.4646e-07
_068_, 25.14, 16.32, 1.4646e-07
_075_, 25.14, 16.32, 1.4646e-07
output15, 25.14, 16.32, 1.4646e-07
fanout25, 25.14, 16.32, 1.4646e-07
FILLER_0_2_35, 25.14, 16.32, 1.4646e-07
FILLER_0_2_42, 25.14, 16.32, 1.4646e-07
_066_, 25.14, 10.88, 2.16541e-07
_067_, 25.14, 10.88, 2.16541e-07
output13, 25.14, 10.88, 2.16541e-07
output18, 25.14, 10.88, 2.16541e-07
FILLER_0_1_46, 25.14, 10.88, 2.16541e-07
